ISO2,Country,Region,Emissions_scope,Warming_scenario,Probability_of_reach,Budget_source,Budget_distribution_scenario,Years_to_neutrality,Neutrality_year,Latest_year,Latest_annual_CO2_emissions_Mt,Latest_cumulative_CO2_emissions_Mt,Latest_cumulative_population,Share_of_cumulative_population,Population_2050,Share_of_total_population_2050,Global_Carbon_budget,Country_carbon_budget,scenario_id
AF,Afghanistan,Southern Asia,Territory,1.5°C,33%,Lamboll,Equality,699,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,480000,3849.167954373958,73
AF,Afghanistan,Southern Asia,Territory,1.5°C,33%,Lamboll,Responsibility,1012,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,480000,5578.0617154561705,74
AF,Afghanistan,Southern Asia,Territory,1.5°C,33%,Lamboll,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,480000,,75
AF,Afghanistan,Southern Asia,Territory,1.5°C,33%,Foster,Equality,437,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,300000,2405.7299714837236,76
AF,Afghanistan,Southern Asia,Territory,1.5°C,33%,Foster,Responsibility,927,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,300000,5110.121935216381,77
AF,Afghanistan,Southern Asia,Territory,1.5°C,33%,Foster,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,300000,,78
AF,Afghanistan,Southern Asia,Territory,1.5°C,50%,Lamboll,Equality,359,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,247000,1980.717676521599,79
AF,Afghanistan,Southern Asia,Territory,1.5°C,50%,Lamboll,Responsibility,902,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,247000,4972.33966659022,80
AF,Afghanistan,Southern Asia,Territory,1.5°C,50%,Lamboll,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,247000,,81
AF,Afghanistan,Southern Asia,Territory,1.5°C,50%,Foster,Equality,364,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,250000,2004.7749762364363,82
AF,Afghanistan,Southern Asia,Territory,1.5°C,50%,Foster,Responsibility,904,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,250000,4980.13866292755,83
AF,Afghanistan,Southern Asia,Territory,1.5°C,50%,Foster,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,250000,,84
AF,Afghanistan,Southern Asia,Territory,1.5°C,67%,Lamboll,Equality,87,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,60000,481.14599429674473,85
AF,Afghanistan,Southern Asia,Territory,1.5°C,67%,Lamboll,Responsibility,814,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,60000,4486.202228229993,86
AF,Afghanistan,Southern Asia,Territory,1.5°C,67%,Lamboll,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,60000,,87
AF,Afghanistan,Southern Asia,Territory,1.5°C,67%,Foster,Equality,218,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,150000,1202.8649857418618,88
AF,Afghanistan,Southern Asia,Territory,1.5°C,67%,Foster,Responsibility,857,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,150000,4720.1721183498885,89
AF,Afghanistan,Southern Asia,Territory,1.5°C,67%,Foster,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,150000,,90
AF,Afghanistan,Southern Asia,Territory,2°C,33%,Lamboll,Equality,2333,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1603000,12854.617147628029,91
AF,Afghanistan,Southern Asia,Territory,2°C,33%,Lamboll,Responsibility,1542,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1603000,8497.486011063309,92
AF,Afghanistan,Southern Asia,Territory,2°C,33%,Lamboll,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1603000,,93
AF,Afghanistan,Southern Asia,Territory,2°C,33%,Foster,Equality,2110,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1450000,11627.69486217133,94
AF,Afghanistan,Southern Asia,Territory,2°C,33%,Foster,Responsibility,1470,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1450000,8099.737197859487,95
AF,Afghanistan,Southern Asia,Territory,2°C,33%,Foster,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1450000,,96
AF,Afghanistan,Southern Asia,Territory,2°C,50%,Lamboll,Equality,1774,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1219000,9775.282784128864,97
AF,Afghanistan,Southern Asia,Territory,2°C,50%,Lamboll,Responsibility,1361,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1219000,7499.2144798850895,98
AF,Afghanistan,Southern Asia,Territory,2°C,50%,Lamboll,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1219000,,99
AF,Afghanistan,Southern Asia,Territory,2°C,50%,Foster,Equality,1674,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1150000,9221.964890687606,100
AF,Afghanistan,Southern Asia,Territory,2°C,50%,Foster,Responsibility,1328,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1150000,7319.837564126503,101
AF,Afghanistan,Southern Asia,Territory,2°C,50%,Foster,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,1150000,,102
AF,Afghanistan,Southern Asia,Territory,2°C,67%,Lamboll,Equality,1374,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,944000,7570.030310268783,103
AF,Afghanistan,Southern Asia,Territory,2°C,67%,Lamboll,Responsibility,1231,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,944000,6784.30648229652,104
AF,Afghanistan,Southern Asia,Territory,2°C,67%,Lamboll,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,944000,,105
AF,Afghanistan,Southern Asia,Territory,2°C,67%,Foster,Equality,1383,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,950000,7618.144909698458,106
AF,Afghanistan,Southern Asia,Territory,2°C,67%,Foster,Responsibility,1234,>2100,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,950000,6799.90447497118,107
AF,Afghanistan,Southern Asia,Territory,2°C,67%,Foster,Current_target,N/A,N/A,2023.0,11.020218,236.841364,1288853728.0,0.002599665445776615,76885134.5,0.008019099904945745,950000,,108
AF,Afghanistan,Southern Asia,Consumption,1.5°C,33%,Lamboll,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,480000,3849.167954373958,109
AF,Afghanistan,Southern Asia,Consumption,1.5°C,33%,Lamboll,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,480000,,110
AF,Afghanistan,Southern Asia,Consumption,1.5°C,33%,Lamboll,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,480000,,111
AF,Afghanistan,Southern Asia,Consumption,1.5°C,33%,Foster,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,300000,2405.7299714837236,112
AF,Afghanistan,Southern Asia,Consumption,1.5°C,33%,Foster,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,300000,,113
AF,Afghanistan,Southern Asia,Consumption,1.5°C,33%,Foster,Current_target,N/A,N/A,,,,,,76885134.5,0.008019099904945745,300000,,114
AF,Afghanistan,Southern Asia,Consumption,1.5°C,50%,Lamboll,Equality,N/A,N/A,,,,,,76885134.5,0.008019099904945745,247000,1980.717676521599,115
AF,Afghanistan,Southern Asia,Consumption,1.5°C,50%,Lamboll,Responsibility,N/A,N/A,,,,,,76885134.5,0.008019099904945745,247000,,116
